variable,table,category,status,source,notes
SMOKE_FIRST_AGE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_FIRST_AGE_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_HOUSE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_PREV_AGE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_PREV_AGE_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_PREV_REDUCE_REASON_1_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_PREV_REDUCE_REASON_2_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_PREV_REG_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_PREV_REG_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_PREV_TYPE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_REG_1_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_REG_DAY_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_REG_DAY_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_REG_FIRST_AGE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_REG_FIRST_AGE_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_REG_TYPE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_REG_TYPE_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_STATUS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_STATUS_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_TOBACCO_AGE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_TOBACCO_PREV_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_TOBACCO_TYPE_1_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_VAPE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_VAPE_AGE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_VAPE_AGE_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_VAPE_AVG_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_VAPE_AVG_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_VAPE_TYPE_1_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_VAPE_TYPE_2_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_VAPE_USE_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SMOKE_VAPE_USE_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ADOPTION_STATUS_1_1,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
BIRTH_PLACE_1_1,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_AGE_1_1,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_AGE_DECEASED_1_1,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
FATHER_ALIVE_1_1,questionnaire,family_health_history,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
